a	[ei, ә]	art. 一(个),每一(个)
central	['sentrәl]	a. 中心的,主要的
centre	['sentә]	n. 中心,中枢 vt. 集中
century	['sentʃuri]	n. 世纪,百年
chance	[tʃa:ns]	n. 机会,机遇,可能性
change	[tʃeindʒ]	n. 变化,零钱 vt. 改变
charge	[tʃa:dʒ]	vt. 索价,控告 n. 费用
chief	[tʃi:f]	a. 主要的,首席的
child	[tʃaild]	n. 小孩
city	['siti]	n. 城市
claim	[kleim]	vt. 声称,主张,索取
class	[kla:s]	n. 班级,阶级
clear	[kliә]	a. 清晰的 vt. 清除
close	[klәuz, klәus]	vt. 关闭,结束
club	[klʌb]	n. 俱乐部,夜总会
colour	['kʌlә]	n. 颜色
come	[kʌm]	vi. 来,来到,出现
coming	['kʌmiŋ]	n.  来临
committee	[kә'miti]	n. 委员会
common	['kɔmәn]	a. 普通的,共同的
community	[kә'mju:niti]	n. 社区
company	['kʌmpәni]	n. 公司 vt. 陪伴
complete	[kәm'pli:t]	a. 完整的,完成的
concern	[kәn'sә:n]	n. 关心,挂念,关系
condition	[kәn'diʃәn]	n. 状况,条件,环境
conference	['kɔnfәrәns]	n. 会议,讨论会
consider	[kәn'sidә]	vt. 认为,考虑,关心
continue	[kәn'tinju(:)]	vt. 继续
control	[kәn'trәul]	vt. 控制,克制 n. 控制
cost	[kɔst]	n. 价格,代价,成本
could	[kud, kәd]	aux. v. 能够(can的过去式)
couldn't		n.  不能
council	['kaunsil]	n. 理事会,委员会
Country	['kʌntri]	n. 国家
course	[kɔ:s]	n. 课程,过程,一道菜
court	[kɔ:t]	n. 法庭
cover	['kʌvә]	vt. 盖住,包括 n. 盖子
create	[kri(:)'eit]	vt. 创造,引起,产生
cup	[kʌp]	n. 杯子
current	['kʌrәnt]	a. 当前的,通用的
cut	[kʌt]	vt. 切,割,剪,减少
daughter	['dɔ:tә]	n. 女儿
day	[dei]	n. 一天,白昼
deal	[di:l]	n. 交易 vi. 处理
decide	[di'said]	vt. 决定
decision	[di'siʒәn]	n. 决定,决心
demand	[di'ma:nd]	vt. 要求,需要
department	[di'pa:tmәnt]	n. 部,司,局,处,系
describe	[dis'kraib]	vt. 形容,描写,描绘
design	[di'zain]	vt. 设计 n. 设计,图样
develop	[di'velәp]	vt. 发展,形成,开发
development	[di'velәpmәnt]	n. 发展,开发,生长
didn't		n.  未
die	[dai]	vi. 死亡
different	['difrәnt]	a. 不同的
difficult	['difikәlt]	a. 困难的
direct	[di'rekt]	a. 直接的,直率的
director	[di'rektә]	n. 董事长,导演
do	[du:, du]	aux. v. vt. 做,干,办
doesn't		aux.  不
dollar	['dɔlә]	n. 美元
don't		aux.  不
door	[dɔ:]	n. 门
down	[daun]	ad. 向下,在下面
draw	[drɔ:]	vt. 画,拖,拨出
drive	[draiv]	vt. 驾驶,驱使
drug	[drʌg]	n. 药物,毒品
during	['djuәriŋ]	prep. 在…期间
each	[i:tʃ]	pron. 各,各自 a. ad. 每个
early	['ә:li]	ad. 早 a. 早的,早期的
east	[i:st]	n. 东,东部 ad. 在东方
easy	['i:zi]	a. 容易的,安逸的
economic	[i:kә'nɔmik]	a. 经济的,经济学的
economy	[i(:)'kɔnәmi]	n. 经济,节约,节省
education	[edju:'keiʃәn]	n. 教育,训导,教育学
effect	[i'fekt]	n. 效果,效力
effort	['efәt]	n. 努力
eight	[eit]	num. 八,八个,第八
eighteen	['ei'ti:n]	num. 十八,十八个
eighty	['eiti]	num. 八十,八十个
either	['aiðә, 'i:ðә]	pron. (两者)任何一个
election	[i'lekʃәn]	n. 选举,选举权,当选
eleven	[i'levn]	num. 十一,十一个
else	[els]	ad. 其它,另外 a. 别的
end	[end]	n. 末端,目标 vt. 结束
enough	[i'nʌf]	a. 足够的 ad. 足够地
even	['i:vәn]	a. 均匀的,平的
event	[i'vent]	n. 事件,事变
ever	['evә]	ad. 在任何时候,曾经
every	['evri]	a. 每个,每一,每隔…的
everything	['evriθiŋ]	pron. 每件事,事事
example	[ig'za:mpl]	n. 例子,实例,模范
expect	[iks'pekt]	vt. 预料,预期,等待
experience	[iks'piәriәns]	n. 经验,感受,经历
eye	[ai]	n. 眼睛
face	[feis]	n. 脸,表面,外表
fact	[fækt]	n. 事实,实际,实情
fail	[feil]	vi. 失败,失灵,不能
fall	[fɔ:l]	vi. 落下,跌倒,陷落
family	['fæmili]	n. 家庭,家族
far	[fa:]	a. 远的 ad. 远,遥远
father	['fa:ðә]	n. 父亲,神父,创始人
fear	[fiә]	n. 害怕,担心 vt. 害怕
feel	[fi:l]	vt. n. 感觉,觉得,触摸
few	[fju:]	a. 很少的,少数的
fifteen	['fif'ti:n]	num. 十五,十五个
fifty	['fifti]	num. 五十,五十个
fight	[fait]	vi. 打(仗),斗争
figure	['figә]	n. 数字,外形,人物
film	[film]	n. 影片,胶卷,薄层
final	['fainl]	a. 最后的,决定性的
financial	[fai'nænʃәl, fi-]	a. 财政的,金融的
find	[faind]	vt. 找到,发觉,找出
firm	[fә:m]	a. 坚定的 n. 公司,商号
first	[fә:st]	num. 第一 ad. 最初
five	[faiv]	num. 五,五个,第五
fly	[flai]	n. 苍蝇 vi. 飞行
follow	['fɔlәu]	vt. 跟随,结果是
food	[fu:d]	n. 食物
foot	[fut]	n. 脚,英尺
for	[fɔ:, fә]	prep. 为,给,因为
force	[fɔ:s]	vt. 强迫 n. 力,力量
foreign	['fɔrin]	a. 外国的,外来的
form	[fɔ:m]	n. 形式,形状 vt. 形成
former	['fɔ:mә]	a. 在前的 n. 前者
forty	['fɔ:ti]	num. 四十,第四十
four	[fɔ:]	num. 四,四个,第四
fourteen	['fɔ:'ti:n]	num. 十四,第十四
free	[fri:]	a. 自由的,空闲的
friend	[frend]	n. 朋友
from	[frɔm, frәm, frm]	prep. 从…来,根据
front	[frʌnt]	a. 前面的 n. 前部
full	[ful]	a. 满的,完全的
fund	[fʌnd]	n. 资金,基金,存款
further	['fә:ðә]	ad. 更进一步
future	['fju:tʃә]	n. 未来
game	[geim]	n. 游戏,比赛
general	['dʒenәrәl]	a. 总的,一般的n. 将军
get	[get]	vi. 变得,成为,到达
girl	[gә:l]	n. 女孩子
give	[giv]	vt. 做,作,送给
go	[gәu]	vi. 去,走,变为
going	['^әuiŋ]	n. 去,离去,工作情况,行为
good	[gud]	a. 好的
got	[gCt]	vbl.  get 的过去式
government	['gʌvәnmәnt]	n. 政府
great	[greit]	a. 大的,伟大的
green	[gri:n]	a. 绿色的 n. 绿色
grey	[grei]	n.  a.  灰色（的）
ground	[graund]	n. 地,场地
group	[gru:p]	n. 小组,群 vi. 聚集
grow	[grәu]	vi. 生长,增长
half	[ha:f]	n. 半,一半 a. 一半的
hand	[hænd]	n. 手,人手
happen	['hæpәn]	vi. 发生,碰巧,恰好
hard	['ha:d]	a. 硬的,困难的
have	[hæv, hәv]	v. aux. 已经 vt. 有,吃
he	[hi:]	pron. (主格)他
head	[hed]	n. 头,前端,领导 vi. 出发
health	[helθ]	n. 健康,健康状况
hear	[hiә]	vt. 听见,听说
help	[help]	vt. 帮助 n. 帮手
her	[hә:, hә]	pron. (宾格)她,她的
here	[hiә]	ad. 这里,向这里
herself	[hә:'self]	pron. 她自己,她亲自
he's		n.  他是
high	[hai]	a. 高的,高级的 ad. 高
him	[him]	pron. (宾格)他
himself	[him'self]	pron. 他自己,他亲自
his	[his]	pron. 他的,他的东西
history	['histәri]	n. 历史,个人经历
hit	[hit]	vt. 打,碰撞 n. 击
hold	[hәuld]	vt. 拿住,掌握,拥有
home	[hәum]	n. 家,家乡 a. 家庭的
hope	[hәup]	n. vt. vi. 希望
hospital	['hɔspitl]	n. 医院
host	[hәust]	n. 主人,东道主
hour	['auә]	n. 小时
house	[haus]	n. 房屋,住宅
how	[hau]	ad. 怎么,怎样,多少
however	[hau'evә]	ad. 然而,不管怎样
human	['hju:mәn]	a. 人的,人类的 n. 人
hundred	['hʌndrid]	num. 百,百个
I	[ai]	pron. (主格)我
I'd	[aid]	我将要，我应该
idea	[ai'diә]	n. 想法,思想,意见
if	[if]	conj. 假如,如果
I'll		n.  我将
I'm	[aim]	我是
important	[im'pɔ:tәnt]	a. 重要的
in	[in]	prep. 在…里ad. 进,入
include	[in'klu:d]	vt. 包括,包含
including	[in'klu:diŋ]	vbl.  包括
increase	[in'kri:s, 'inkri:s]	vt. vi. n. 增加
independent	[indi'pendәnt]	a. 独立的,自主的
industry	['indәstri]	n. 工业,产业,勤劳
information	[infә'meiʃәn]	n. 消息,信息,通知
interest	['intrist]	n. 兴趣,利益,利息
international	[intә(:)'næʃәnl]	a. 国际的
into	['intu, 'intә]	prep. 进,入,进入到
isn't		不是
issue	['iʃu:]	n. 问题,发行 vt. 发行
it	[it]	pron. 这,那,它
its	[its]	pron. 它的
it's		pn.  它的
itself	[it'self]	pron. 它自己,自身
I've	[aiv]	((口语))I have之略
job	[dʒɔb]	n. 职业,工作
join	[dʒɔin]	vt. 参加,连接
just	[dʒʌst]	ad. 刚才,只是,正好
keep	[ki:p]	vi. 保持,坚持
kill	[kil]	vi. 杀死,扼杀,消磨
kind	[kaind]	a. 仁慈的，友好的 n. 种类
know	[nәu]	n. 知道，了解；会，懂；认识，熟悉
labour	['leibә]	v.  困难地做，太冗长地解释
land	[lænd]	n. 陆地,土地vi. 着陆
large	[la:dʒ]	a. 巨大的
last	[la:st]	vi. 持续a. 最后的ad. 最后n. 最后,末尾
late	[leit]	a. 迟的;晚(期)的;已故的ad. 迟,晚
later	['leitә]	ad. 后来
laugh	[la:f]	vi. 笑n. 笑
law	[lɔ:]	n. 法律,法令
lead	[li:d]	vt. 为…带路；领导vi. 带路；导致n. 领先；领导
leader	['li:dә]	n. 领袖,首领
learn	[lә:n]	vt. 学习;听到vi. 学会;获悉,知道
least	[li:st]	a. 最少的ad. 最少
leave	[li:v]	vi. 离去vt. 离开;留下，遗忘n. 请假
left	[left]	a. 左边的ad. 在左边n. 左边，左侧
less	[les]	a. 更少的ad. 更少地
let	[let]	vt. 允许,让; 出租
letter	['letә]	n. 信;字母
level	['levl]	n. 水平,水准a. 水平的
life	[laif]	n. 生命,一生；寿命
like	[laik]	n. 爱好a. 相似的, 同样的vt. 喜欢vi. 喜欢prep. 象, 如同
likely	['laikli]	a. 可能的ad. 很可能
line	[lain]	n. 线，线条；排；路线
list	[list]	n. 名单；列表；目录vt. 列出
little	['litl]	a. 小的,幼小的ad. 一点, 稍许;几乎不n. 一会儿
live	[liv laiv]	vi. 居住;活vt. 过着a. 活的; 实况转播的
local	['lәukәl]	a. 地方的n. 局部
long	[lɔŋ]	a. 长的,远的；长期的ad. 长久vi. 渴望
look	[luk]	n. 看;面容, 外表vi. 看;显得vt. 打量,注视
lose	[lu:z]	vt. 失去, 错过;迷路
lot	[lɔt]	n. 许多,大量；抽签
love	[lʌv]	vt. 爱；喜欢n. 爱情；喜爱
low	[lәu]	a. 低的,矮的;低下的, 卑贱的
main	[mein]	a. 主要的n. 主体，要点
major	['meidʒә]	vi. 主修，专攻a. 主要的,多数的n. 专业
make	[meik]	vt. 使得；做,制造n. 制造
man	[mæn]	n. 人,人类
many	['meni]	a. 许多的pron. 许多人
market	['ma:kit]	n. 市场,集市
match	[mætʃ]	vi. 相称,匹配n. 比赛;匹配;火柴
matter	['mætә]	n. 事情；物质vi. 要紧，有关系
may	[mei]	aux. 也许;可以;祝愿n. 五月
me	[mi:, mi]	pron. 我
mean	[mi:n]	vt. 意思是a. 自私的,吝啬的
meet	[mi:t]	vt. 遇见；满足vi. 相遇；集合
meeting	[mi:tiŋ]	n. 会合；会议
member	['membә]	n. 成员,会员
middle	['midl]	n. 中部a. 中部的
might	[mait]	aux. 可以n. 力量,权力
military	['militәri]	a. 军事的
million	['miljәn]	num. 百万
mind	[maind]	n. 头脑, 理智vt. 注意,留心;介意, 反对
mine	[main]	pron. 我的n. 矿，矿山；地雷，水雷vt. 开采
minister	['ministә]	n. 部长,大臣
minute	['minit, mai'nju:t]	n. 分钟；片刻
moment	['mәumәnt]	n. 片刻；时刻
money	['mʌni]	n. 金钱,财富
month	[mʌnθ]	n. 月,月份
more	[mɔ:]	a. 更多的ad. 更n. 更多的东西
morning	['mɔ:niŋ]	n. 上午
most	[mәust]	a. 最多的；大多数的ad. 最,很n. 大多数
mother	['mʌðә]	n. 母亲
move	[mu:v]	vt. 移动;感动vi. 移动；搬家n. 动作；行动
Mr		维护与修理
Mrs	['misiz]	夫人
Ms		n.  美国微软公司
much	[mʌtʃ]	ad. 非常,很a. 许多的n. 多，大量
music	['mju:zik]	n. 音乐
must	[mʌst]	aux. 必须; 一定
my	[mai]	pron. 我的
name	['neim]	n. 名字;名誉vt. 说出；取名
nation	['neiʃәn]	n. 民族,国家
national	['næʃәnl]	a. 民族的,国家的
near	[niә]	prep. 靠近ad. 接近a. 近的
need	[ni:d]	vt. 需要aux. 需要n. 需要；必需品
never	['nevә]	ad. 决不，从不；千万不要
new	[nju:]	a. 新的
news	[nju:z]	n. 新闻,消息
next	[nekst]	n. 下一个a. 下次的;其次的；邻近的ad. 下一次;其次
night	[nait]	n. 夜晚
nine	[nain]	num. 九
nineteen	['nain'ti:n]	num. 十九
ninety	['nainti]	num. 九十
no	[nәu]	ad. 不,并不a. 没有的
north	[nɔ:θ]	n. 北,北方a. 北方的
not	[nɔt]	ad. 不,没有
nothing	['nʌθiŋ]	pron. 没有东西ad. 毫不n. 无关紧要的人（事物）
now	[nau]	n. 现在conj. 既然ad. 现在,立刻
number	['nʌmbә]	n. 数字,号码
of	[ɔv, әv]	prep. 属于…的
of course	[әv'kɔ:s]	adv.  当然
off	[ɔ:f]	ad. (离)开;(停)止prep. 从. . . 离开;脱离
offer	['ɔfә]	vt. 提供n. 出价; 提议
office	['ɔfis]	n. 办公室
officer	['ɔfisә]	n. 官员,军官
official	[ә'fiʃәl]	a. 官方的n. 官员，行政人员
often	['ɔ:fn]	ad. 经常,通常
oh	[әu]	int. 哦
oil	[ɔil]	n. 油,石油vt. 加油于
old	[әuld]	a. 老的;…岁的
on	[ɔn]	prep. 在…上;关于ad. 继续
once	[wʌns]	ad. 一次；曾经conj. 一旦n. 一次
one	[wʌn]	a. 一个的，某一个的num. 一pron. 一个(人)
only	['әunli]	ad. 仅仅a. 唯一的conj. 可是，不过
open	['әupәn]	a. (敞)开的;开放的,公开的vt. 打开
operate	['ɔpәreit]	vi. 操作;施行手术
operation	[ɔpә'reiʃәn]	n. 操作;经营;手术
or	[ɔ:, ә]	conj. 或,或者
order	['ɔ:dә]	n. 命令;次序；治安，秩序vt. 命令;定购
other	['ʌðә]	pron. 其他的, 他人a. 另外的,其余的
our	['auә]	pron. 我们的
out	[aut]	a. 外面的ad. 在外；向外；出于n. 外面, 外出
outside	['aut'said]	n. 外部,外表ad. 在外面，向外面a. 外部的
over	['әuvә]	a. 结束的prep. 高于，超过;在对面ad. 全部地
own	[әun]	a. 自己的vt. 有,拥有
page	[peidʒ]	n. 页
paper	['peipә]	n. 纸,报纸;文件,论文; 考卷
parent	['pɛәrәnt]	n. 父母亲
part	[pa:t]	vt. 分开，拆散n. 一部分;零件；角色
party	['pa:ti]	n. 党派;聚会；一方，当事人
pass	[pa:s]	vt. 经过；度过；传递vi. 流逝n. 通行证；通道
past	[past]	a. 过去的n. 过去prep. 经过;超过
pay	[pei]	vt. 支付,付给vi. 付款；付出代价n. 工资，薪金
peace	[pi:s]	n. 和平,和睦；平静
people	['pi:pl]	n. 人民；人；民族
percent	[pә'sent]	n. 百分比,百分数
perhaps	[pә'hæps]	ad. 也许,可能
person	['pә:sn]	n. 人
photo	['fәutәu]	n. 照片
place	[pleis]	n. 地点；住所vt. 放置
plan	[plæn]	n. 计划vt. 计划,打算vi. 订计划
plant	[pla:nt]	n. 植物;工厂vt. 栽种
play	[plei]	vt. 玩;演奏;扮演(角色)vi. 玩;演奏;播放n. 游戏;比赛
player	['pleiә]	n. 表演者,比赛者
point	[pɔint]	vi. 指向n. 小数点；要点;分数；尖端，尖
police	[pә'li:s]	n. 警察,警方
policy	['pɔlisi]	n. 政策,方针
political	[pә'litikәl]	a. 政治上的
position	[pә'ziʃәn]	n. 位置;职位
possible	['pɔsәbl]	a. 可能的
pound	[paund]	n. 磅,英磅vt. 连续敲打vi. 连续重击
power	['pauә]	n. 能力;电力;权力
president	['prezidәnt]	n. 总统,校长
press	[pres]	vi. 压,按vt. 压；压榨n. 印刷;新闻，报刊；出版社
pressure	['preʃә]	n. 压力
price	[prais]	vt. 定价，标价n. 价格；代价
probably	['prɔbәbli]	ad. 或许,大概
problem	['prɔblәm]	n. 问题，疑难
process	['prәuses]	n. 过程vt. 处理
produce	[prә'dju:s, 'prɔdju:s]	vt. 生产；产生
product	['prɔdәkt]	n. 产品；成果；作品
programme	['prәugræm]	v. 编程序 n. 程序
provide	[prә'vaid]	vt. 提供；装备；规定
public	['pʌblik]	a. 公众的；公开的n. 公众
put	[put]	vt. 放,摆；写下
question	['kwestʃәn]	vt. 询问；怀疑n. 问题,疑问
quick	[kwik]	a. 快的
quite	[kwait]	ad. 完全,相当
race	[reis]	vi. 竞赛n. 种族,人种
radio	['reidiәu]	n. 收音机
raise	['reiz]	vt. 举起；养育，饲养；提出
rate	[reit]	n. 比率;速度;价格vt. 评价，估价
rather	['ra:ðә]	ad. 宁可,宁愿;相当
reach	[ri:tʃ]	vt. 抵达；够到　vi. 达到；伸出手n. 能达到的范围
read	[ri:d]	vt. 读;写着vi. 阅读, 朗读
real	[riәl]	a. 真的；现实的
really	['riәli]	ad. 真正地
reason	['ri:zn]	n. 理由；理性vt. 推理vi. 劝说
receive	[ri'si:v]	vt. 收到,得到；收听，收看
recent	['ri:snt]	a. 最近的
record	['rekɔ:d, ri'kɔ:d]	n. 记录，档案；履历；唱片vt. 记录；录音
red	[red]	a. 红色的n. 红色
release	[ri'li:s]	vt. 释放;发布
remain	[ri'mein]	vi. 剩下;保持n. 残余；遗迹
remember	[ri'membә]	vt. 记得，记住
report	[ri'pɔ:t]	vt. 报告,汇报；报导vi. 报告,汇报n. 报告；报导
research	[ri'sә:tʃ]	n. 调查,探究
result	[ri'zʌlt]	n. 成果;结果vi. 结果, 导致
return	[ri'tә:n]	vi. 回来,返回vt. 归还；回报n. 返回；偿还，归还
right	[rait]	a. 正确的;右边的ad. 对；正好；径直n. 正确；权利；右面
rise	[raiz]	vi. 起立;升起;上涨；起义n. 上涨；起源，发生
road	[rәud]	n. 路,道路
role	[rәul]	n. 角色
room	[ru:m, rum]	n. 房间；余地
rule	[ru:l]	vt. 统治，支配n. 统治;规定
run	[rʌn]	vi. 跑;运行vt. 经营；操纵n. 运行，运转
sale	[seil]	n. 卖,拍卖;销售额
same	[seim]	a. 相同的pron. 同样的人（事物）
save	[seiv]	vt. 救；积攒，储蓄
say	[sei]	vt. 说;比如说n. 话语;发言权
school	[sku:l]	n. 学校,学院;学派
season	['si:zn]	n. 季节;时节
second	['sekәnd]	n. 秒num. 第二a. 另一个
secretary	['sekrәtri]	n. 秘书,书记
security	[si'kjuәriti]	n. 安全
see	[si:]	vt. 看见, 注意;看出,领会vi. 看见；理解
seek	[si:k]	vt. 寻找,探索
seem	[si:m]	vi. 好像,似乎
sell	[sel]	vt. 卖,销售
send	[send]	vt. 送,寄；派遣
sense	[sens]	vt. 意识到n. 感官；意思，意义
serious	['siәriәs]	a. 严肃的；严重的
service	['sә:vis]	n. 服务;行政部门
set	[set]	vt. 放,安置;点燃,放(火)n. 一套a. 固定的
seven	['seven]	num. 七
seventeen	['sevәn'ti:n]	num. 十七
seventy	[sevnti]	num. 七十
several	['sevrәl]	a. 几个，若干
share	[ʃɛә]	vt. 分享,共享n. 份额,股份
she	[ʃi:, ʃi]	pron. 她
short	[ʃɔ:t]	a. 短的;短期的；缺乏的，不足的n. 短裤
should	[ʃud, ʃәd]	aux. 应该;将要
show	[ʃәu]	vt. 给…看;表明vi. 显现，露面n. 表示; 展览; 炫耀
side	[said]	vi. 支持n. 边,旁边;一方
sign	[sain]	n. 符号；征兆vt. 签名
since	[sins]	conj. 从…以来;因为;既然ad. 以后, 后来
single	['siŋgl]	a. 单一的;独身的
sir	[sә:]	n. 先生
sister	[sistә]	n. 姐妹
sit	[sit]	vi. 坐，就坐
situation	[sitju'eiʃәn]	n. 处境,形势
six	[siks]	num. 六
sixteen	['siks'ti:n]	num. 十六
sixty	['siksti]	num. 六十
small	[smɔ:l]	a. 小的,少的
So	[sәu]	conj. 因而, 所以ad. 如此, 那么;非常, 十分
social	['sәuʃәl]	a. 社会的;社交的
society	[sә'saiәti]	n. 社会
some	[sʌm]	a. 一些；某一个pron. 一些,若干ad. 大约；稍微
something	['sʌmθiŋ]	pron. 某事,某物
son	[sʌn]	n. 儿子
soon	[su:n]	ad. 不久,快
sort	[sɔ:t]	n. 种类,类别vt. 排序
sound	[saund]	n. 响声vi. 听起来a. 健康的；正当的
south	[sauθ]	n. 南,南方a. 南方的
speak	[spi:k]	vi. 说话；发言，演说vt. 说
special	['speʃәl]	a. 特殊的,专门的
spend	[spend]	vt. 用钱,花费;度过
staff	[sta:f]	n. 全体工作人员
stage	[steidʒ]	n. 舞台;阶段，时期
stand	[stænd]	vi. 站立;坐落vt. 容忍n. 架,台
star	[sta:]	n. 星星;明星
start	[sta:t]	vi. 出发,开始;吃惊vt. 开始；发动，创办n. 开端；吃惊
State	[steit]	vt. 陈述,阐明n. 状态;国家；州
stay	[stei]	vi. 停留;住；保持n. 逗留
step	[step]	n. 脚步;步骤；台阶vi. 走；踩到
still	[stil]	ad. 仍旧，还要a. 静止的n. 寂静
stock	[stɔk]	vt. 储备n. 原料;库存品;股票
stop	[stɔp]	vt. 阻止；中断vi. 停止；逗留n. 停车站；停止
Story	['stɔ:ri]	n. 故事,小说
street	['stri:t]	n. 街道a. 街上的
strong	[strɔŋ]	a. 强壮的；浓的
student	['stju:dәnt]	n. 学生
study	['stʌdi]	n. 学习,研究;书房vt. 学习,研究
such	[sʌtʃ]	ad. 那么 pron. 这样的人（事物）a. 这样的,如此的…
suggest	[sә'dʒest]	vt. 建议;暗示,启发
support	[sә'pɔ:t]	vt. 支持;供养；承受
sure	[ʃuә]	a. 确信的,确实的
surprise	[sә'praiz]	vt. 使惊奇n. 使人惊奇的事
system	['sistim]	n. 系统；制度
take	[teik]	vt. 拿;接受；需要, 花费；采取(某一动作)
talk	[tɔ:k]	vi. 讲话vt. 谈论n. 谈论；讲话
tax	[tæks]	n. 税（款）vt. 征税
team	[ti:m]	n. 队,组
tell	[tel]	vt. 讲述；吩咐；辨别
ten	[ten]	num. 十
term	[tә:m]	n. 学期;条件;术语
test	[test]	n. 试验；考验vt. 试验,检验；考验
than	[ðæn, ðәn]	conj. (比较级)比
thank	[θæŋk]	vt. 谢谢,感谢n. 感谢
that	[ðæt]	a. 那pron. 那ad. 那样
that's	[ðæts]	that is 之略
the	[ðә, ði]	art. 这,那
their	[ðɛә, ðәr]	pron. 他(她，它)们的
them	[ðem, ðәm]	pron. (宾格)他（她，它）们
themselves	[ðәm'selvz]	pron. 他们自己
then	[ðen]	ad. 当时;然后；再者
there	[ðɛә, ðә]	ad. 在那里;在那点上
these	[ði:z]	a. 这些pron. 这些
they	[ðei]	pron. (主格)他(她)们
they're		n.  他们是
thing	[θiŋ]	n. 东西,事情
think	[θiŋk]	vt. 想；认为；打算
thirteen	['θә:'ti:n]	num. 十三
thirty	['θә:ti]	num. 三十
this	[ðis]	a. 这;今pron. 这
those	[ðәuz]	pron. 那些
though	[ðәu]	conj. 虽然ad. 可是；即使
